Product,Qty
PARACHUTE 250ML,6
PC ADV GOLD COCONUT OIL 190ML 1473.00,135
K P CHEMPARATHI THAALI 100ML6.00,43
KP THALI 220ML RS115.00,3
KP TOOTH POWDER 40GM-22,10
KP TOOTH POWDER 80G-38,10
KP STRONG 40GM SP RS32 STRONG10.00,27
KP TOOTH PASTE(50GM)RS22,24
KD RED 100G RS23.00,30
TATA CHINGS DARK SOY SAUCE 90GM24.00,18
PC JASMIN 90ML,12
KANAN DEVAN TEA 250GM,36
COL CIBACA SFH HARD 30,60
COL SUPERFLEXI12+2SF(MEDIUM)55.00,10
KPL COCUNUT OIL 500 GM,30
KPL COCONUT OIL 1LT PCH,20
NAMBISAN GHEE 200 ML,5
KERALAGOLDCOCONUT OIL500ML60.00,124
RUCHI GOLD PALMOLIN 1LR,80
GOLDWINNER SF OIL 1L,80
KERALAGLOD COCONUT OIL1L20.00,249
CUTICURA ORIGINAL BLOOM TALC 50GM *(50)6.00,45
HIMA NATU SHAINE HENN 50GM RS35.006.00,28
HIMA ANTI HAIR FALL CREAM 100ML1.00,90
HAPPY MILKCHOCO SPREAD 170GM3.00,151
LAXMANAREKH ORGINAL 15.0024.00,12
HAPPY IDM MANGO 500GM,9
LAXMAN REKHAA MULT INSECT KILLER SPR 125ML6.00,60
YARDLEY GENTLEMAN CLASSIC TLC100GM2.00,108
YARDLEY CUPBOARD AIR PKT 10GM 656.00,50
CUTICURA ORIGINAL TALC 100GM6.00,98
HIMALAYA NATU SHINE HENNA 120GM6.00,60
HIMA AD HAIR CREAM 100ML,1
HAPPY MILK CHOCO SPREAD 90GM3.00,74
HAPPY IDM PINEAPPLE 500GM,9
YARDLEY ELEGANCE TALC 100GM2.00,108
YARDLEY MORNING DEW TALC 100GM2.00,108
LAVENDER LAVENDER AIR PKT 10GM 6512.00,50
HAPPY IDM ORANGE 500GM,9
ELITE BRAN FLAKES 34KG,2
MAIDA 1KG,15
MAIDA 250GM,20
MAIDA 500GM,10
SF DARK FANTASY CHOCO FILLS 18GM,200
